Datum,28daysSmoothened,daysOfTrend
2008-11-21,4711.6275000000005,-57
2008-11-24,4700.652500000001,-58
2008-11-25,4698.424285714286,-59
2008-11-26,4690.5375,-60
2008-11-27,4684.475357142857,-61
2008-11-28,4680.369285714286,-62
2008-12-01,4674.073571428571,0
2008-12-02,4674.505357142857,1
2008-12-03,4684.204285714286,2
2008-12-04,4692.403928571429,0
2008-12-05,4676.618928571428,-1
2008-12-08,4673.3042857142855,-2
2008-12-09,4670.083214285714,-3
2008-12-10,4663.544285714286,-4
2008-12-11,4654.271428571429,-5
2008-12-12,4632.318928571428,-6
2008-12-15,4614.0314285714285,-7
2008-12-16,4611.043571428571,-8
2008-12-17,4602.826428571429,-9
2008-12-18,4593.214642857143,-10
2008-12-19,4590.8975,0
2008-12-22,4591.5482142857145,0
2008-12-23,4590.828928571428,-1
2008-12-24,4587.941071428571,0
2008-12-26,4590.516428571429,1
2008-12-29,4594.994642857143,2
2008-12-30,4611.284285714286,3
2009-01-02,4638.1725,4
2009-01-05,4668.764642857143,5
2009-01-06,4685.621071428572,6
2009-01-07,4699.087142857143,7
2009-01-08,4710.494642857143,8
2009-01-09,4714.731071428571,9
2009-01-12,4716.523214285714,10
2009-01-13,4725.171428571428,0
2009-01-14,4721.262857142857,-1
2009-01-15,4713.030357142858,-2
2009-01-16,4705.960714285714,-3
2009-01-19,4703.6275,-4
2009-01-20,4686.626428571429,-5
2009-01-21,4668.1278571428575,-6
2009-01-22,4647.2185714285715,-7
2009-01-23,4626.209285714286,-8
2009-01-26,4614.191428571428,-9
2009-01-27,4602.355714285714,-10
2009-01-28,4594.813214285714,-11
2009-01-29,4584.803571428572,-12
2009-01-30,4569.873214285714,-13
2009-02-02,4554.671071428571,-14
2009-02-03,4545.240357142857,-15
2009-02-04,4540.362142857143,-16
2009-02-05,4536.116071428572,0
2009-02-06,4536.660714285715,0
2009-02-09,4535.302142857143,-1
2009-02-10,4524.421428571428,-2
2009-02-11,4508.600714285714,-3
2009-02-12,4488.013928571429,-4
2009-02-13,4466.123928571428,-5
2009-02-16,4445.737142857143,-6
2009-02-17,4422.0475,-7
2009-02-18,4401.371428571429,-8
2009-02-19,4383.356785714286,-9
2009-02-20,4361.132500000001,-10
2009-02-23,4343.778928571429,-11
2009-02-24,4328.029642857143,-12
2009-02-25,4309.455714285714,-13
2009-02-26,4296.115714285715,-14
2009-02-27,4281.9689285714285,-15
2009-03-02,4262.2875,-16
2009-03-03,4243.405357142858,-17
2009-03-04,4233.119642857143,-18
2009-03-05,4210.570357142858,-19
2009-03-06,4187.105714285714,-20
2009-03-09,4157.581071428572,-21
2009-03-10,4138.255,-22
2009-03-11,4123.103214285714,-23
2009-03-12,4111.859642857143,-24
2009-03-13,4096.811071428571,-25
2009-03-16,4080.8021428571433,-26
2009-03-17,4062.1335714285715,-27
2009-03-18,4038.9796428571426,-28
2009-03-19,4016.716785714286,-29
2009-03-20,4001.1167857142855,-30
2009-03-23,3988.483928571429,-31
2009-03-24,3980.619642857143,-32
2009-03-25,3973.8303571428573,-33
2009-03-26,3969.9992857142856,-34
2009-03-27,3969.533214285714,-35
2009-03-30,3961.828571428571,-36
2009-03-31,3957.1696428571427,0
2009-04-01,3961.3271428571425,1
2009-04-02,3977.2367857142854,2
2009-04-03,3994.7096428571426,3
2009-04-06,4012.695357142857,4
2009-04-07,4026.2625,5
2009-04-08,4044.6260714285713,6
2009-04-09,4072.5207142857143,7
2009-04-13,4101.106428571428,8
2009-04-14,4124.894642857143,9
2009-04-15,4155.405357142858,10
2009-04-16,4189.085714285714,11
2009-04-17,4224.257500000001,12
2009-04-20,4245.6617857142855,13
2009-04-21,4266.6449999999995,14
2009-04-22,4289.437857142857,15
2009-04-23,4310.316785714286,16
2009-04-24,4332.808928571429,17
2009-04-27,4358.033928571428,18
2009-04-28,4379.858928571429,19
2009-04-29,4403.469642857142,20
2009-04-30,4428.495,21
2009-05-01,4449.676428571428,22
2009-05-04,4475.215357142857,23
2009-05-05,4497.706071428572,24
2009-05-06,4519.896785714286,25
2009-05-07,4541.345,26
2009-05-08,4574.368928571429,27
2009-05-11,4602.302857142857,28
2009-05-12,4628.125714285715,29
2009-05-13,4640.471785714286,30
2009-05-14,4653.096071428571,31
2009-05-15,4666.942142857143,32
2009-05-18,4685.851428571428,33
2009-05-19,4707.340714285715,34
2009-05-20,4726.905714285714,35
2009-05-21,4741.5325,36
2009-05-22,4754.4517857142855,37
2009-05-25,4767.618214285714,38
2009-05-26,4781.051785714286,39
2009-05-27,4792.620714285715,40
2009-05-28,4808.57,41
2009-05-29,4824.255357142857,42
2009-06-01,4843.831785714286,43
2009-06-02,4865.469285714286,44
2009-06-03,4879.0482142857145,45
2009-06-04,4892.288571428571,46
2009-06-05,4909.060357142857,47
2009-06-08,4919.780357142857,48
2009-06-09,4927.937857142858,49
2009-06-10,4937.999642857142,50
2009-06-11,4945.314285714287,51
2009-06-12,4953.036071428572,52
2009-06-15,4953.365714285714,53
2009-06-16,4956.459285714286,0
2009-06-17,4952.390714285714,-1
2009-06-18,4951.339642857143,-2
2009-06-19,4950.816428571428,-3
2009-06-22,4949.594642857143,-4
2009-06-23,4948.476071428572,0
2009-06-24,4951.994285714287,0
2009-06-25,4950.158571428571,-1
2009-06-26,4943.6175,-2
2009-06-29,4938.122857142857,-3
2009-06-30,4934.836071428572,-4
2009-07-01,4934.3607142857145,-5
2009-07-02,4927.219285714285,-6
2009-07-03,4917.3125,-7
2009-07-06,4904.849999999999,-8
2009-07-07,4892.896785714285,-9
2009-07-08,4879.747857142857,-10
2009-07-09,4861.444642857142,-11
2009-07-10,4841.1678571428565,-12
2009-07-13,4829.3039285714285,-13
2009-07-14,4819.192857142857,-14
2009-07-15,4813.886071428571,-15
2009-07-16,4812.188571428572,-16
2009-07-17,4811.49357142857,-17
2009-07-20,4810.7425,-18
2009-07-21,4810.267857142857,0
2009-07-22,4812.136428571429,1
2009-07-23,4824.898571428572,2
2009-07-24,4836.992857142856,3
2009-07-27,4853.120357142857,4
2009-07-28,4865.165357142857,5
2009-07-29,4880.553214285715,6
2009-07-30,4904.383928571428,7
2009-07-31,4926.705,8
2009-08-03,4947.806428571428,9
2009-08-04,4969.822857142856,10
2009-08-05,4990.413571428571,11
2009-08-06,5007.731071428571,12
2009-08-07,5030.956785714286,13
2009-08-10,5049.266785714286,14
2009-08-11,5069.528214285715,15
2009-08-12,5092.452499999999,16
2009-08-13,5119.2128571428575,17
2009-08-14,5144.602857142857,18
2009-08-17,5167.065714285714,19
2009-08-18,5189.2325,20
2009-08-19,5212.649285714287,21
2009-08-20,5233.675,22
2009-08-21,5257.998214285714,23
2009-08-24,5279.1164285714285,24
2009-08-25,5300.541428571429,25
2009-08-26,5319.954642857143,26
2009-08-27,5335.675357142856,27
2009-08-28,5350.796071428571,28
2009-08-31,5362.813214285714,29
2009-09-01,5365.670714285714,30
2009-09-02,5368.902142857143,31
2009-09-03,5370.683214285714,32
2009-09-04,5378.172142857143,33
2009-09-07,5385.071785714285,34
2009-09-08,5389.395714285713,35
2009-09-09,5398.042857142857,36
2009-09-10,5404.04,37
2009-09-11,5411.432857142857,38
2009-09-14,5420.976785714286,39
2009-09-15,5430.226785714285,40
2009-09-16,5438.844642857142,41
2009-09-17,5450.023928571429,42
2009-09-18,5464.953214285714,43
2009-09-21,5476.330357142857,44
2009-09-22,5487.339999999999,45
2009-09-23,5501.373571428571,46
2009-09-24,5515.787857142857,47
2009-09-25,5527.597500000001,48
2009-09-28,5545.609285714286,49
2009-09-29,5559.982857142857,50
2009-09-30,5567.569285714286,51
2009-10-01,5568.812142857142,0
2009-10-02,5565.626785714287,-1
2009-10-05,5565.158214285714,0
2009-10-06,5571.847857142857,1
2009-10-07,5576.255,2
2009-10-08,5585.487142857143,3
2009-10-09,5599.222499999999,4
2009-10-12,5615.772142857143,5
2009-10-13,5630.518214285715,6
2009-10-14,5647.293571428571,7
2009-10-15,5660.410000000001,8
2009-10-16,5669.755,9
2009-10-19,5679.694285714286,10
2009-10-20,5687.444285714286,11
2009-10-21,5694.925357142857,12
2009-10-22,5700.021428571429,13
2009-10-23,5703.995357142858,0
2009-10-26,5701.920357142858,-1
2009-10-27,5698.4875,-2
2009-10-28,5691.074642857143,-3
2009-10-29,5688.174642857143,-4
2009-10-30,5677.659642857143,-5
2009-11-02,5667.972857142858,-6
2009-11-03,5658.977857142857,-7
2009-11-04,5654.078571428571,-8
2009-11-05,5644.9574999999995,-9
2009-11-06,5636.912142857143,-10
2009-11-09,5634.932142857143,0
2009-11-10,5637.026785714285,1
2009-11-11,5644.185714285713,2
2009-11-12,5649.725357142858,3
2009-11-13,5650.767857142857,4
2009-11-16,5656.6275000000005,5
2009-11-17,5658.837857142857,6
2009-11-18,5661.5425000000005,0
2009-11-19,5658.647857142858,-1
2009-11-20,5656.8207142857145,-2
2009-11-23,5654.9400000000005,-3
2009-11-24,5652.745000000001,0
2009-11-25,5654.874642857142,0
2009-11-26,5646.3607142857145,-1
2009-11-27,5641.8550000000005,-2
2009-11-30,5634.442857142858,0
2009-12-01,5634.931428571428,1
2009-12-02,5636.411071428571,2
2009-12-03,5640.989285714285,3
2009-12-04,5647.511785714285,4
2009-12-07,5657.814642857143,5
2009-12-08,5661.426428571429,6
2009-12-09,5669.743571428572,7
2009-12-10,5679.6792857142855,8
2009-12-11,5694.07,9
2009-12-14,5706.856785714286,10
2009-12-15,5718.6575,11
2009-12-16,5733.485357142857,12
2009-12-17,5741.511071428571,13
2009-12-18,5749.297142857143,14
2009-12-21,5758.660714285715,15
2009-12-22,5768.722499999999,16
2009-12-23,5778.387142857143,17
2009-12-28,5785.462142857143,18
2009-12-29,5793.787857142857,19
2009-12-30,5799.852857142857,20
2010-01-04,5812.214285714285,21
2010-01-05,5825.3825,22
2010-01-06,5833.698571428571,23
2010-01-07,5842.628928571428,24
2010-01-08,5851.007142857144,25
2010-01-11,5866.233214285714,26
2010-01-12,5875.425714285715,27
2010-01-13,5887.468214285714,28
2010-01-14,5895.049285714286,29
2010-01-15,5898.416785714287,30
2010-01-18,5903.709642857143,31
2010-01-19,5909.382142857144,32
2010-01-20,5911.767142857143,33
2010-01-21,5913.8525,34
2010-01-22,5915.5482142857145,0
2010-01-25,5912.775000000001,-1
2010-01-26,5909.655,-2
2010-01-27,5903.9742857142855,-3
2010-01-28,5894.295357142857,-4
2010-01-29,5883.7725,-5
2010-02-01,5876.988214285714,-6
2010-02-02,5872.647142857143,-7
2010-02-03,5863.417142857143,-8
2010-02-04,5848.686785714286,-9
2010-02-05,5830.004642857143,-10
2010-02-08,5811.502142857143,-11
2010-02-09,5793.170357142857,-12
2010-02-10,5778.132500000001,-13
2010-02-11,5758.690714285714,-14
2010-02-12,5739.709642857143,-15
2010-02-15,5721.022857142857,-16
2010-02-16,5705.7642857142855,-17
2010-02-17,5691.861785714284,-18
2010-02-18,5679.001428571428,-19
2010-02-19,5671.110357142857,-20
2010-02-22,5661.299642857143,-21
2010-02-23,5647.556428571428,-22
2010-02-24,5638.254285714285,-23
2010-02-25,5624.460714285715,-24
2010-02-26,5610.96,-25
2010-03-01,5606.030714285714,0
2010-03-02,5607.087500000001,1
2010-03-03,5611.464642857142,2
2010-03-04,5617.32,3
2010-03-05,5624.7639285714295,4
2010-03-08,5633.074999999999,5
2010-03-09,5645.416428571429,6
2010-03-10,5657.128214285714,7
2010-03-11,5666.919285714286,8
2010-03-12,5675.328214285714,9
2010-03-15,5683.595,10
2010-03-16,5699.228928571429,11
2010-03-17,5720.2982142857145,12
2010-03-18,5739.136071428571,13
2010-03-19,5756.427857142858,14
2010-03-22,5772.539642857142,15
2010-03-23,5790.873214285713,16
2010-03-24,5810.109285714286,17
2010-03-25,5832.318214285714,18
2010-03-26,5851.172857142857,19
2010-03-29,5869.333928571429,20
2010-03-30,5885.835357142858,21
2010-03-31,5901.246071428571,22
2010-04-01,5920.786071428571,23
2010-04-05,5943.339285714285,24
2010-04-06,5966.078571428572,25
2010-04-07,5990.7242857142855,26
2010-04-08,6011.2017857142855,27
2010-04-09,6030.351428571429,28
2010-04-12,6047.284642857143,29
2010-04-13,6062.032857142857,30
2010-04-14,6079.285714285715,31
2010-04-15,6094.074642857143,32
2010-04-16,6104.967142857143,33
2010-04-19,6114.8439285714285,34
2010-04-20,6126.540714285715,35
2010-04-21,6137.317499999999,36
2010-04-22,6145.303571428572,37
2010-04-23,6158.016785714286,38
2010-04-26,6170.913571428571,39
2010-04-27,6175.743214285714,40
2010-04-28,6178.315714285714,41
2010-04-29,6184.118571428572,42
2010-04-30,6189.411428571429,43
2010-05-03,6194.756071428572,0
2010-05-04,6193.608214285714,-1
2010-05-05,6187.376071428572,-2
2010-05-06,6179.812142857144,-3
